qid,qtopic,qtype,qtime,query
001a,Causes of stress,atemporal,"Mar 29, 2013 GMT+0:00",What are the common causes of stress?
001p,Causes of stress,past,"Mar 29, 2013 GMT+0:00",What are the examples of big incidents in Japan in the past that caused mass stress?
001r,Causes of stress,recency,"Mar 29, 2013 GMT+0:00",What are the recent findings or facts about stress?
001f,Causes of stress,future,"Mar 29, 2013 GMT+0:00",What are the possible future inventions that will help to alleviate the effects of stress?
002a,Weight loss,atemporal,"Mar 29, 2013 GMT+0:00",How can I lose weight properly?
002p,Weight loss,past,"Mar 29, 2013 GMT+0:00",Who are the examples of people who succeeded in losing a significant amount of weight?
002r,Weight loss,recency,"Mar 29, 2013 GMT+0:00",What are the recent trends in medical research related to weight loss?
002f,Weight loss,future,"Mar 29, 2013 GMT+0:00",How will we choose our weight loss methods in the future?
003a,AIDS in Africa,atemporal,"Mar 29, 2013 GMT+0:00",Why is HIV a threat for mankind?
003p,AIDS in Africa,past,"Mar 29, 2013 GMT+0:00",What were the past responses to HIV/AIDS in Africa?
003r,AIDS in Africa,recency,"Mar 29, 2013 GMT+0:00",What are the present challenges to the fight against HIV?
003f,AIDS in Africa,future,"Mar 29, 2013 GMT+0:00",What is the future outlook of the cure of HIV/AIDS in Africa?
004a,Waterborne diseases in Africa,atemporal,"Mar 29, 2013 GMT+0:00",What are waterborne diseases and what causes them?
004p,Waterborne diseases in Africa,past,"Mar 29, 2013 GMT+0:00",What are the previous institutional efforts for tackling waterborne diseases in Africa?
004r,Waterborne diseases in Africa,recency,"Mar 29, 2013 GMT+0:00",What are the present conditions of waterborne diseases for people in Africa?
004f,Waterborne diseases in Africa,future,"Mar 29, 2013 GMT+0:00",What should be done to reduce contracting waterborne diseases in the future? 
005a,Obesity in children,atemporal,"Mar 29, 2013 GMT+0:00",What are the long-term effects of childhood obesity?
005p,Obesity in children,past,"Mar 29, 2013 GMT+0:00",What are the past government and stakeholder policies to address obesity in children?
005r,Obesity in children,recency,"Mar 29, 2013 GMT+0:00",What are the recent discoveries of causes of the childhood obesity?
005f,Obesity in children,future,"Mar 29, 2013 GMT+0:00",What are the potential future solutions to child obesity?
006a,Diabetes,atemporal,"Mar 29, 2013 GMT+0:00",What are the signs and symptoms of diabetes?
006p,Diabetes,past,"Mar 29, 2013 GMT+0:00",What were the early treatment options for diabetes?
006r,Diabetes,recency,"Mar 29, 2013 GMT+0:00",What are the present treatment options for diabetics related illnesses?
006f,Diabetes,future,"Mar 29, 2013 GMT+0:00",What is the forecast for diseases that could further complicate diabetes?
007a,Hair loss or baldness,atemporal,"Mar 29, 2013 GMT+0:00",How can you tell if you are experiencing an abnormal hair loss?
007p,Hair loss or baldness,past,"Mar 29, 2013 GMT+0:00",What are the traditional beliefs (myths) on hair loss?
007r,Hair loss or baldness,recency,"Mar 29, 2013 GMT+0:00",What are current broadly accepted treatments for baldness?
007f,Hair loss or baldness,future,"Mar 29, 2013 GMT+0:00",Are there any new promising treatments for hair loss?
008a,English as a second language,atemporal,"Mar 29, 2013 GMT+0:00",What is a second language?
008p,English as a second language,past,"Mar 29, 2013 GMT+0:00",What are the past studies on English Language learning before 2000?
008r,English as a second language,recency,"Mar 29, 2013 GMT+0:00","What are the latest technologies, methods or tools to teach English as a second language?"
008f,English as a second language,future,"Mar 29, 2013 GMT+0:00",How will we learn English as a second language in the future?
009a,Playing guitar,atemporal,"Mar 29, 2013 GMT+0:00",What are the basics of guitar playing?
009p,Playing guitar,past,"Mar 29, 2013 GMT+0:00",Who are the popular guitar legends in the 90s?
009r,Playing guitar,recency,"Mar 29, 2013 GMT+0:00",What are the new tools and gadgets available for guitar learners?
009f,Playing guitar,future,"Mar 29, 2013 GMT+0:00",What are the near future technologies related to guitar playing?
010a,PlayStation 4,atemporal,"Mar 29, 2013 GMT+0:00",What are the specs and features of PlayStation 4?
